FEC_ID,PRIMARY_PCT,GENERAL_PCT,ELEC_CYCLE
H0AL02087,0.66370614,0.487685477,2016
H0AL05163,1,0.666979107,2016
H0AL07086,1,0.984130662,2016
H0AR01083,1,0.762780703,2016
H0AR03055,1,0.77318116,2016
H0AZ01259,0.714189888,0.714533522,2016
H0CA03078 ,0.540041352,0.511713718,2016
H0CA10073 ,0.753326816,0.72052822,2016
H0CA10149 ,0.631074808,0.593514317,2016
H0CA11337 ,0.217279931,0.426404773,2016
H0CA15148 ,0.374012852,0.38991046,2016
H0CA19173 ,0.477302993,0.517004574,2016
H0CA27085,0.702365391,0.779866794,2016
H0CA32101,0.661767525,0.674203613,2016
H0CA33117 ,0.802105234,0.811263023,2016
H0CA48024,0.508200167,0.50261321,2016
H0CA49055,0.654797353,0.670092539,2016
H0CT02140,,0.336553048,2016
H0CT03072,,0.690324812,2016
H0CT05127,,9.05908E-05,2016
H0DC00058,0.971497352,0.881265246,2016
H0FL02086 ,0.475922944,0.642343021,2016
H0FL08208 ,0.59813803,0.653670079,2016
H0FL12101 ,1,0.574612056,2016
H0FL17068 ,0.783745856,1,2016
H0FL18025 ,0.804778247,0.548938567,2016
H0FL19080 ,1,0.589353263,2016
H0GA07125 ,1,0.996377922,2016
H0GA07133,1,0.603816844,2016
H0GA08099 ,0.777584786,0.676429193,2016
H0GA09030 ,0.756477747,0.999032048,2016
H0ID01253,0.809760847,0.681714445,2016
H0IL05096 ,1,0.678437098,2016
H0IL09080,,3.97617E-05,2016
H0IL10302 ,1,0.473905229,2016
H0IL11052 ,0.999980281,0.999495869,2016
H0IL14080,1,0.59304874,2016
H0IN02125 ,0.776636953,0.691398013,2016
H0IN02190,0.697781344,0.592575634,2016
H0IN04170 ,0.692557806,0.645925312,2016
H0IN08114 ,0.650463603,0.636897592,2016
H0KS03137 ,0.636030653,0.513014663,2016
H0KS04051,1,0.606711692,2016
H0KY05015,0.824319062,1,2016
H0KY06104,0.845472837,0.610890284,2016
H0LA01087,,0.745575113,2016
H0MA09027,0.980164159,0.298130602,2016
H0MA10082,0.993128576,0.55749615,2016
H0MI01187,,0.013251136,2016
H0MI02086,,0.008558091,2016
H0MI02094 ,1,0.626261316,2016
H0MI03126 ,1,0.59452631,2016
H0MI03209,,0.030435354,2016
H0MI06087,,0.000236676,2016
H0MN01045,0.76517876,0.495794591,2016
H0MN04049,0.939995488,0.577645875,2016
H0MO01066,0.626411515,0.754697093,2016
H0MO03120,,0.009424238,2016
H0MO04086,0.7248307,0.678280971,2016
H0MO06073,0.762068966,0.680245631,2016
H0MO07113,0.623709757,0.675390645,2016
H0MS03049,1,0.01888234,2016
H0MS04120,1,0.650418432,2016
H0ND01026,0.990552654,0.69130973,2016
H0NH01217,0.464706918,0.429461397,2016
H0NH01225,0.451997888,0.00015028,2016
H0NH02181,0.993257879,0.497430108,2016
H0NJ10133,1,0.118731792,2016
H0NJ10182,,0.016694273,2016
H0NY18065,0.892266514,0.952032913,2016
H0NY29054,1,0.575723453,2016
H0OH06189,1,0.706759591,2016
H0OH08136,,2.07961E-05,2016
H0OH12062,1,0.665545355,2016
H0OH15099,1,0.314260119,2016
H0OH16097,1,0.653293753,2016
H0OH18077,0.746523738,0.640345918,2016
H0OR04081,0.672993992,0.396769861,2016
H0PA04220 ,0.993895634,0.61708756,2016
H0PA06076 ,0.998553296,0.571924379,2016
H0PA07082,0.757821981,0.594825747,2016
H0PA10078 ,0.989371529,0.700695117,2016
H0RI01073,0.675347222,0.645033774,2016
H0RI02139,0.643679521,0.580882225,2016
H0SC02053,,0.037521804,2016
H0SC03077,1,0.728237932,2016
H0SC04257,1,0.671857138,2016
H0SC05031,0.782571063,0.590732787,2016
H0SD00054,1,0.641027859,2016
H0TN03254,0.838972152,0.66394367,2016
H0TN04195 ,0.521148589,0.650341065,2016
H0TN06257,0.636558769,0.710865057,2016
H0TN08329,,0.008647735,2016
H0TX07055,0.572962484,0.561735666,2016
H0TX17104 ,0.724167235,0.608058504,2016
H0TX20090,,0.032918978,2016
