FEC_ID,PRIMARY_PCT,GENERAL_PCT,ELEC_CYCLE
H0TX25107,,0.028755521,2014
H0TX26105,,0.173365378,2014
H0TX27061,1,0.635970301,2014
H0VA01185,,0.024315312,2014
H0VA02084,1,0.586836935,2014
H0VA05095,1,0.608626705,2014
H0VA09055 ,1,0.72146301,2014
H0VA09113,,0.242066149,2014
H0VA10145,,0.01522139,2014
H0VI00037,1,0.083888604,2014
H0WA02080,0.555929307,0.605743439,2014
H0WA03161,0.515796505,0.547015846,2014
H0WA03187,0.488256257,0.615322414,2014
H0WA08046,0.506728357,0.550365947,2014
H0WI04090,0.796705882,0.268702039,2014
H0WI07051,0.876295337,0.592774674,2014
H0WI08075,0.997456232,0.65007516,2014
H0WV01072,1,0.63902803,2014
H2AK00143,1,0.076106112,2014
H2AL03032,0.758945925,0.661205465,2014
H2AS00030,,0.019617412,2014
H2AS00055,,0.01561585,2014
H2AZ04143,1,0.257901917,2014
H2AZ05132,1,0.35138355,2014
H2AZ07070 ,1,0.557245183,2014
H2AZ07146,1,0.442266442,2014
H2AZ08094,1,0.499382308,2014
H2AZ08102 ,0.693581339,0.500143596,2014
H2AZ08151,1,0.241883423,2014
H2AZ09019 ,1,0.546759882,2014
H2AZ09035 ,0.606140142,0.418611396,2014
H2CA00104,0.570822797,0.559894652,2014
H2CA00120,0.455012823,0.513316336,2014
H2CA02142,0.534466364,0.610300778,2014
H2CA06259,0.679146838,0.749912653,2014
H2CA06291,0.263968039,0.27310874,2014
H2CA08164,0.580998853,0.676468534,2014
H2CA15094,0.490705073,0.698053266,2014
H2CA16100,0.217113577,0.492688007,2014
H2CA19112,0.239732308,0.327886813,2014
H2CA20094,0.629785278,0.578341333,2014
H2CA23114,0.158025859,0.480728795,2014
H2CA26109,0.295822228,0.466591276,2014
H2CA27198,0.396324864,0.40642734,2014
H2CA28113,0.628464973,0.746131276,2014
H2CA30143,0.738309614,0.72535337,2014
H2CA31125,0.173561945,0.517337449,2014
H2CA33048,0.663592913,0.611758035,2014
H2CA36439,0.50333386,0.541840926,2014
H2CA37023,0.674932518,0.657377194,2014
H2CA38237,0.424748384,0.409098294,2014
H2CA39078,0.575251616,0.590901706,2014
H2CA43245,0.446525158,0.566430192,2014
H2CA50026,0.683448157,0.687895058,2014
H2CA50166,0.243368678,0.287999288,2014
H2CA52089,0.422922483,0.515868707,2014
H2CO01124,,0.018801123,2014
H2CO01140,,0.033365171,2014
H2CO02122,,0.031193026,2014
H2CO03146,,0.040172013,2014
H2CT01189,,0.360788687,2014
H2CT02112,,0.622753755,2014
H2CT05131,,0.532411944,2014
H2DE00148,,0.01907891,2014
H2DE00155,,0.020728185,2014
H2FL00292 ,1,0.625445325,2014
H2FL00300 ,1,0.367646007,2014
H2FL01100 ,0.753381334,0.70146977,2014
H2FL03056,1,0.654749762,2014
H2FL06109 ,0.793774484,0.64984769,2014
H2FL08055 ,0.721458928,0.635989858,2014
H2FL14053,1,0.580316156,2014
H2FL20043 ,0.625956474,0.373322087,2014
H2FL21066,,0.003734494,2014
H2FL22072,1,0.597843504,2014
H2FL23021,0.791960126,0.816036478,2014
H2FL25018,1,1,2014
H2GA02031,1,0.591546961,2014
H2GA06107,1,0.339594497,2014
H2GA09150,0.80221951,0.806746314,2014
H2GA12121,0.539901457,0.547531982,2014
H2GA13012,0.822413745,1,2014
H2GU00033,0.743008314,0.578630949,2014
H2HI02508,1,0.787487592,2014
H2HI02524,0.567665418,0.18648833,2014
H2IA01055,0.548941842,0.510746407,2014
H2IA05072 ,0.991214351,0.616159894,2014
H2ID01143,0.047147789,3.16937E-05,2014
H2ID02018,1,0.386391529,2014
H2IL01042,1,0.730880969,2014
H2IL01182,1,0.269119031,2014
H2IL02156,,0.000636425,2014
H2IL04145,1,0.218531743,2014
H2IL05183,1,0.061433874,2014
H2IL08039 ,0.743357052,0.781468257,2014
H2IL10068 ,1,0.487024924,2014
H2IL12122 ,1,0.418903584,2014
H2IL12130,1,0.056451382,2014
H2IL13120 ,0.546333032,0.586559314,2014
H2IL14078,0.658285714,0.345862395,2014
H2IL17071,1,0.554571857,2014
H2IL20042 ,1,0.749231726,2014
H2IN03152 ,0.348764316,0.2672908,2014
H2IN05082 ,0.727370981,0.65211224,2014
H2IN06239,0.482795299,0.293472022,2014
H2IN07088,,0.03844964,2014
H2KY04121,1,0.677283735,2014
H2LA02107,,0.170623279,2014
H2LA03063,,0.093364315,2014
H2LA04129,,0.265661147,2014
H2MA00014,0.992215569,0.411393033,2014
H2MA04073,0.992060138,0.979053472,2014
H2MA09072,0.990324957,0.986688042,2014
H2MD02160,0.775663371,0.613239353,2014
H2MD04299,,0.029510321,2014
H2MD05155,1,0.640262785,2014
H2MD05510 ,,0.0197443,2014
H2MD06138,1,0.390316175,2014
H2MD06195,1,0.497039929,2014
H2MD08126,0.912812783,0.60739148,2014
H2ME02154,,0.110552906,2014
H2MI05101,,0.019589666,2014
H2MI05119 ,1,0.66707182,2014
H2MI07073,,0.020256164,2014
H2MI10101,1,0.293595753,2014
H2MI11133,,0.005616189,2014
H2MI13170,,0.021186365,2014
H2MI14111,0.356196004,0.777867726,2014
H2MI17023 ,1,0.603932547,2014
H2MN02122 ,0.825001669,0.388715792,2014
H2MN03062,1,0.377788082,2014
H2MN07014,1,0.542055764,2014
H2MN08111 ,1,0.485149371,2014
H2MO02102,1,0.64119472,2014
H2MO02151,1,0.032632822,2014
H2MO04116,0.529906542,0.055551774,2014
H2MO06202 ,0.516573482,0.295004546,2014
H2MO06228,1,0.038492806,2014
H2MO07093 ,0.537636409,0.28838049,2014
H2MS01114,1,0.025345607,2014
H2MS04209,,0.023679745,2014
H2MS04225,0.556577334,0.24341158,2014
H2NC01081,0.508933795,0.678098416,2014
H2NC07096,0.530196548,0.593503867,2014
H2NC08185,1,0.648632498,2014
H2NC08219,1,0.351367502,2014
H2NC09134,0.675929532,0.939033098,2014
H2NC11080,1,0.628986541,2014
H2NC13110,1,0.573077195,2014
H2NE03023,1,0.24612357,2014
H2NJ02037,0.824764872,0.614599092,2014
H2NJ05014,0.667247609,0.625700272,2014
H2NJ08224,,0.012852436,2014
H2NJ10154 ,0.91251211,0.853830169,2014
H2NM02126,1,0.644274819,2014
H2NM03157,1,0.384487929,2014
H2NV02205,,0.063326352,2014
H2NV02395 ,1,0.657333119,2014
H2NV04011 ,0.842997046,0.457589405,2014
H2NY00010,1,0.886870808,2014
H2NY01067,1,0.455395829,2014
H2NY03089,1,0.683104859,2014
H2NY06116,1,0.989367975,2014
H2NY08120,1,0.079441422,2014
H2NY09110,1,0.105078374,2014
H2NY10092,1,0.91971333,2014
H2NY13062,1,0.025027244,2014
H2NY14037,1,0.798763985,2014
H2NY17071,1,0.874353412,2014
H2NY22139,1,0.496914976,2014
H2OH02085,1,0.659625779,2014
H2OH02093,0.558977471,0.367833096,2014
H2OH03067,0.798498675,0.651785091,2014
H2OH03125 ,1,0.640572103,2014
H2OH05039 ,1,0.046188828,2014
H2OH07142,,0.000118665,2014
H2OH09031,1,0.677410323,2014
H2OH14064 ,0.549917154,0.632565943,2014
H2OH15095 ,1,0.339762924,2014
H2OH17109,0.850450551,0.684880005,2014
H2OK01143,1,1,2014
H2OK02083,0.797284161,0.700253145,2014
H2OK02166,0.625689564,0.245973978,2014
H2OK04055,0.844495973,0.708019583,2014
H2OR01133 ,0.988331003,0.573093217,2014
H2OR01216,,0.039974503,2014
H2OR01224,,0.040153553,2014
H2OR05175,,0.02208561,2014
H2PA02055,0.999136652,0.877034735,2014
H2PA04135,0.994575559,0.745363332,2014
H2PA09035,0.525857622,0.635217549,2014
H2PA09043,0.974732199,0.364782451,2014
H2PA11098,0.996118844,0.663071492,2014
H2PA17079,0.985907391,0.567582141,2014
H2PA18143,0.994361475,1,2014
H2SC02042,0.859843786,0.72505074,2014
H2SC02059,0.816137047,0.624455875,2014
H2SC07066,1,0.599525431,2014
H2TN01098,,0.029741163,2014
H2TN02112,,0.024185762,2014
H2TN03144,1,0.345829837,2014
H2TN05131,1,0.623220721,2014
H2TN06030,0.841914337,0.6999943,2014
H2TN07194,,0.032253162,2014
H2TN08077,,0.020000579,2014
H2TN08119,0.347299195,0.245853008,2014
H2TX00015,0.699281761,0.879462724,2014
H2TX01062,1,0.225336564,2014
H2TX02102,,0.008745151,2014
H2TX03118,0.805570628,0.820104137,2014
